state,abbreviation
Washington,WA
Texas,TX
South Carolina,SC
Oklahoma,OK
Mississippi,MS
New Mexico,NM
Nebraska,NE
Missouri,MO
Alabama,AL
Indiana,IN
Illinois,IL
Iowa,IA
Maine,ME
Colorado,CO
North Dakota,ND
New Hampshire,NH
Georgia,GA
Kansas,KS
Vermont,VT
Ohio,OH
Connecticut,CT
Utah,UT
Nevada,NV
Massachusetts,MA
Kentucky,KY
Hawaii,HI
California,CA
Maryland,MD
Louisiana,LA
Florida,FL
Arkansas,AR
Wyoming,WY
Arizona,AZ
South Dakota,SD
District of Columbia,DC
Rhode Island,RI
Alaska,AK
New Jersey,NJ
Pennsylvania,PA
Virginia,VA
New York,NY
Idaho,ID
Michigan,MI
North Carolina,NC
Minnesota,MN
Oregon,OR
Tennessee,TN
Delaware,DE
Wisconsin,WI
Montana,MT
West Virginia,WV
